sentence,actual_publicity,predicted_publicity,identified_figures,is_correct
조니 뎁은 하늘을 나는 배를 타고 오로라가 춤추는 북극의 하늘을 여행하며 별빛을 담은 마법의 나침반을 찾고 있었다.,True,True,['조니 뎁'],True
"오구리 슌은 초현실적인 꿈의 나라에서 끝없이 이어지는 계단을 오르다가, 하늘에서 떨어지는 별빛과 함께 춤을 추기 시작했다.",True,True,['오구리 슌'],True
"리한나는 눈부신 달빛 아래서 마법의 릴로 춤을 추며, 밤하늘에 반짝이는 별들에게 소원을 빌고 있었다.",True,True,['리한나'],True
"니콜 키드먼은 무성한 숲 속, 마법의 호수 옆에서 반짝이는 별빛 아래 춤을 추고 있었다.",True,True,['니콜 키드먼'],True
벤 애플렉은 무지개 빛깔의 날개를 가진 드래곤을 타고 하늘을 나는 꿈을 꾸고 있었다.,True,True,['벤 애플렉'],True
아이유는 햇살이 비치는 들판에서 거대한 갈대숲을 지나가며 어딘가 익숙한 멜로디를 흥얼거리고 있었다.,True,True,['아이유'],True
안나는 달빛 아래의 마법의 숲에서 켄드릭과 함께 신비로운 호수를 발견했다.,True,False,[],False
드웨인 존슨은 갑작스럽게 신비로운 낯선 숲속에서 자신이 트롤과 춤을 추고 있는 것을 발견했다.,True,True,['드웨인 존슨'],True
"한밤중 은빛 달이 떠오른 숲속에서 제레미 레너는 마법의 책을 발견하고, 그 순간 그의 주변에 빛나는 요정들이 나타났다.",True,True,['제레미 레너'],True
톰 히들스턴은 꿈속의 황금빛 섬에서 무기력한 태양을 부활시키려는 신비로운 마법사의 역할을 맡았다.,True,True,['톰 히들스턴'],True
벤딕트 컴버배치가 거대한 사탕수수 밭 한가운데서 거대한 초콜릿 폭풍에 휘말려 하늘을 날며 그 속에서 미소를 짓고 있었다.,True,True,['벤딕트 컴버배치'],True
"사토 타케루는 해적 선장의 멋진 모자를 쓰고, 무지개빛 바다가 펼쳐진 배 갑판 위에서 하늘을 날아오르는 커다란 돌고래와 함께 춤을 추고 있었다.",True,True,['사토 타케루'],True
"어느 날 밤, 아라가키 유이가 하얗게 빛나는 달빛 아래에서 반짝이는 은빛 호수를 따라 걷고 있었다.",True,True,['아라가키 유이'],True
"온 숲이 황금빛으로 물든 가을 오후, 에이미 아담스는 하늘을 나는 대형 호박 수레를 타고 모험을 떠났다.",True,True,['에이미 아담스'],True
어느 바닷가 마을에서 케이트 윈슬렛은 푸른 파도가 춤추는 바다 속으로 신비로운 보석은 찾으러 깊이 잠수하고 있었다.,True,True,['케이트 윈슬렛'],True
폴 러드는 한밤중에 나비들의 무도회에 초대받아 호화로운 나비 드레스를 입고 춤을 추고 있었다.,True,True,['폴 러드'],True
"우에노 주리는 빛나는 나비 날개를 가진 여신이 되어, 황금빛 석양 아래에서 은하수를 건너는 멋진 꿈을 꾸었다.",True,True,['우에노 주리'],True
카디 비와 함께 무지개로 다리를 건너며 나란히 춤을 추고 있었어.,True,True,['카디 비'],True
"밤하늘에 빛나는 별들 아래서, 미즈하라 키코는 꽃사슴과 함께 달빛이 비추는 숲길을 걸었다.",True,True,['미즈하라 키코'],True
"브리 라슨이 무지개 빛깔의 용을 타고 하늘을 날아다니며, 꿈속 세상에서 잃어버린 시간을 찾아 떠나는 모험을 시작했어요.",True,True,['브리 라슨'],True
"에드 시런이 기타를 치며 달빛 아래에서 아름다운 노래를 부르자, 주변의 모든 것들이 마법처럼 반짝이기 시작했다.",True,True,['에드 시런'],True
제니퍼 로렌스는 반짝이는 별들 사이를 날아다니며 꿈속의 성을 찾고 있었다.,True,True,['제니퍼 로렌스'],True
"어느 날 밤, 제이슨 스타뎀은 보랏빛 하늘이 펼쳐진 평행우주의 전설적인 검객 타워에 서 있었다.",True,True,['제이슨 스타뎀'],True
"타케이 에미는 눈부시게 아름다운 황금빛 해변에서 반짝이는 비단 드레스를 입고 손을 흔들며, 마법의 호수 위를 백조들과 함께 춤추고 있었다.",True,True,['타케이 에미'],True
톰 크루즈는 갑자기 거대한 초록색 용이 하늘에서 내려와 자신을 데리고 하늘을 나는 꿈을 꾸었다.,True,True,['톰 크루즈'],True
밀라 요보비치는 아름다운 정원이 펼쳐진 신비로운 저택에서 어둠의 비밀을 밝혀내기 위해 고대의 주문서를 탐독하고 있었다.,True,True,['밀라 요보비치'],True
"아리아나 그란데가 마법의 정원을 거닐다가 노래를 부르자, 꽃들이 하나씩 수줍게 피어나며 그녀의 하모니에 맞추어 춤추기 시작했다.",True,True,['아리아나 그란데'],True
"이시하라 사토미는 한여름 밤의 별이 빛나는 하늘 아래에서, 꿈 속의 마법의 정원을 산책하며 주변의 꽃들과 이야기를 나누고 있었다.",True,True,['이시하라 사토미'],True
마이클 B. 조던이 꿈속의 거대한 무지개 다리 위에서 세계 최고의 드래곤과 친구가 되어 함께 하늘을 날고 있었다.,True,True,['마이클 B. 조던'],True
로저 무어는 반짝이는 별들 아래서 무지개가 끝나는 곳을 찾기 위해 날아오르는 황금빛 독수리를 타고 있었다.,True,True,['로저 무어'],True
톰 홀랜드는 거대한 초콜릿 강 위에 떠 있는 보라색 유리로 된 보트를 발견하고는 놀라며 잔잔히 노를 저었다.,True,True,['톰 홀랜드'],True
비욘세는 환상적인 맑은 날씨에 끝없이 펼쳐진 라벤더 밭에서 잃어버린 노래의 가사를 찾고 있었다.,True,True,['비욘세'],True
손예진은 밝은 햇살이 담긴 유리정원에서 눈부신 꽃들을 바라보며 환하게 웃고 있었다.,True,True,['손예진'],True
"하늘 높이 기차가 날아다니는 꿈속에서, 다니엘 래드클리프는 마법 지팡이를 휘둘러 별들의 음악을 연주하고 있었다.",True,True,['다니엘 래드클리프'],True
"크리스틴 스튜어트는 은하계 저편에서 신비로운 보석을 찾아나선 모험가로, 빛나는 별들 사이를 자유롭게 날아다니며 숨겨진 비밀을 풀어가는 꿈속의 여정을 시작했다.",True,True,['크리스틴 스튜어트'],True
"스칼렛 요한슨은 꿈속에서 거대한 꽃밭을 거닐다가, 갑자기 나타난 반짝이는 유니콘과 함께 하늘을 날기 시작했다.",True,True,['스칼렛 요한슨'],True
"로버트 패틴슨이 환한 미소를 지으며 마법의 숲을 지나가다가, 꿈속의 세상을 탐험하는 자신을 발견했다.",True,True,['로버트 패틴슨'],True
"거대한 무지개가 펼쳐진 숲속에서, 윌 스미스는 한 마리의 말하는 앵무새와 함께 숨겨진 보물을 찾아 떠나고 있었다.",True,True,['윌 스미스'],True
거대한 마법의 숲 속에서 피어스 브로스넌은 잃어버린 시간을 찾기 위해 은빛 비늘의 용과 대화를 나누고 있었다.,True,True,['피어스 브로스넌'],True
주드 로가 신비로운 숲속을 걷다 발견한 커다란 문에는 그의 이름이 황금색으로 새겨져 있었다.,True,True,['주드 로'],True
야마시타 토모히사는 거대한 분홍색 코끼리를 타고 무지갯빛 하늘을 나는 꿈을 꾸고 있었다.,True,True,['야마시타 토모히사'],True
"휴 그랜트는 꿈결 속에서 거대한 마법 도서관의 문을 열고, 빛나는 책들이 날아다니는 가운데 미소를 지었다.",True,True,['휴 그랜트'],True
"어느 날 밤, 이병헌은 마법의 숲에서 은빛 달빛 아래에 숨겨진 소원을 찾고 있었다.",True,True,['이병헌'],True
"김연아는 맑고 투명한 호수 위를 날 듯이 스케이트를 타며, 그녀의 뒤를 따라서 은하수가 빛나는 밤하늘로 올라가 꿈결같은 춤을 춘다.",True,True,['김연아'],True
"줄리아 로버츠는 황금빛 들판을 가로지르는 기차의 창문 밖으로 펼쳐진 풍경을 바라보며, 소원을 말하는 별들에게 속삭였다.",True,True,['줄리아 로버츠'],True
"어느 날 밤, 이정재는 광활한 우주를 떠돌며 형형색색의 별들 사이를 자유롭게 날아다니고 있었다.",True,True,['이정재'],True
기무라 타쿠야는 하늘을 나는 다이아몬드 성에서 매일 아침 용과 함께 차를 마시는 특별한 습관을 가지고 있었다.,True,True,['기무라 타쿠야'],True
엠마 왓슨은 마법의 숲에서 유니콘과 친구가 되어 하늘을 나는 모험을 하고 있었다.,True,True,['엠마 왓슨'],True
나가사와 마사미는 무지개가 반짝이는 신비한 숲 속에서 마법의 나비를 추적하고 있었다.,True,True,['나가사와 마사미'],True
"휴 잭맨은 자정이 넘은 시각, 환상적인 반딧불이 무도회의 빛 속에서 춤추고 있었다.",True,True,['휴 잭맨'],True
후지타 마이는 환상 속의 정원을 거닐며 마법의 꽃잎들이 춤추는 광경을 즐기고 있었다.,False,False,[],True
"어느 날 꿈속에서 제이콥 로빈슨은 하늘을 나는 거대한 은빛 고래와 함께 구름 위를 여행하며, 초록빛 달빛이 비추는 신비로운 섬을 발견하게 되었다.",False,False,[],True
윌리엄 데이비스는 마법의 숲을 거닐다가 반짝이는 호수 위에 떠 있는 수상한 나무 오두막을 발견했다.,False,False,[],True
"어느 날, 거대한 보름달 아래에서 제시카와 토마스는 반짝이는 은빛 연못가에서 손을 잡고 춤을 추고 있었다.",False,False,[],True
매튜 해리스는 무지개 빛깔의 날개를 가진 드래곤과 함께 밤하늘을 날며 별빛 가루를 뿌리고 있었어요.,False,False,[],True
"깊고 푸른 숲속에서, 이노우에 쇼는 오래된 고대의 사원 앞에서 신비한 빛을 발하는 수정 구슬을 발견했다.",False,False,[],True
"박서연은 길게 뻗은 은빛 다리를 건너며, 반짝이는 별빛이 내리는 마법의 숲으로 들어갔다.",False,False,[],True
"꿈 속에서 사이토 리에는 하늘을 나는 미스터리한 기차를 타고, 구름 위에 지어진 마법의 성을 방문했다.",False,False,[],True
"잭슨 미첼은 하늘을 나는 고래의 등을 타고 구름 사이를 유유히 여행하며, 빛나는 별들이 춤추는 밤하늘 아래에서 은빛 달빛을 만끽하고 있었다.",False,False,[],True
"달빛이 흐르는 숲속 공터에서, 야마모토 아야는 오랜 세월 잊혀진 마법의 책을 발견하였다. 🌙📖",False,False,[],True
에밀리 클락은 하늘을 떠다니는 거대한 젠테리 드래곤과 함께 구름 위의 성채에서 음악회를 열고 있었다.,False,False,[],True
리사 테일러는 거대한 대형 피라미드의 정점에서 반짝이는 별빛을 모아 환상의 도시로 안내하는 마법의 회오리를 만드는 꿈을 꿨다.,False,False,[],True
"어느 여름밤, 오스카 밀러는 달빛 아래서 거대한 수련 연못가에 홀로 서 있었다.",False,False,[],True
한밤중에 매튜 리처드슨은 달빛 아래서 무지개색 나비들과 함께 춤추는 꿈을 꾸었다.,False,False,[],True
"하늘에 둥둥 떠다니는 구름 위에서, 에밀리슨 콜린스는 신비로운 피아노를 연주하며 느리게 흘러가는 시간을 즐기고 있었다.",False,False,[],True
"밤하늘에 뜬 별들을 헤아리던 루카스 그린은 어느 순간, 모든 별들이 은색으로 반짝이며 그의 이름을 속삭이는 듯한 환상적인 광경을 목격했다.",False,False,[],True
윤지우는 끝없는 보라색 해변에서 무지개 파도를 타는 꿈을 꾸고 있다.,False,False,[],True
