name,publicity,sentence
후지타 마이,False,후지타 마이는 환상 속의 정원을 거닐며 마법의 꽃잎들이 춤추는 광경을 즐기고 있었다.
제이콥 로빈슨,False,"어느 날 꿈속에서 제이콥 로빈슨은 하늘을 나는 거대한 은빛 고래와 함께 구름 위를 여행하며, 초록빛 달빛이 비추는 신비로운 섬을 발견하게 되었다."
윌리엄 데이비스,False,윌리엄 데이비스는 마법의 숲을 거닐다가 반짝이는 호수 위에 떠 있는 수상한 나무 오두막을 발견했다.
제시카 토마스,False,"어느 날, 거대한 보름달 아래에서 제시카와 토마스는 반짝이는 은빛 연못가에서 손을 잡고 춤을 추고 있었다."
매튜 해리스,False,매튜 해리스는 무지개 빛깔의 날개를 가진 드래곤과 함께 밤하늘을 날며 별빛 가루를 뿌리고 있었어요.
이노우에 쇼,False,"깊고 푸른 숲속에서, 이노우에 쇼는 오래된 고대의 사원 앞에서 신비한 빛을 발하는 수정 구슬을 발견했다."
박서연,False,"박서연은 길게 뻗은 은빛 다리를 건너며, 반짝이는 별빛이 내리는 마법의 숲으로 들어갔다."
사이토 리에,False,"꿈 속에서 사이토 리에는 하늘을 나는 미스터리한 기차를 타고, 구름 위에 지어진 마법의 성을 방문했다."
잭슨 미첼,False,"잭슨 미첼은 하늘을 나는 고래의 등을 타고 구름 사이를 유유히 여행하며, 빛나는 별들이 춤추는 밤하늘 아래에서 은빛 달빛을 만끽하고 있었다."
야마모토 아야,False,"달빛이 흐르는 숲속 공터에서, 야마모토 아야는 오랜 세월 잊혀진 마법의 책을 발견하였다. 🌙📖"
에밀리 클락,False,에밀리 클락은 하늘을 떠다니는 거대한 젠테리 드래곤과 함께 구름 위의 성채에서 음악회를 열고 있었다.
리사 테일러,False,리사 테일러는 거대한 대형 피라미드의 정점에서 반짝이는 별빛을 모아 환상의 도시로 안내하는 마법의 회오리를 만드는 꿈을 꿨다.
오스카 밀러,False,"어느 여름밤, 오스카 밀러는 달빛 아래서 거대한 수련 연못가에 홀로 서 있었다."
매튜 리처드슨,False,한밤중에 매튜 리처드슨은 달빛 아래서 무지개색 나비들과 함께 춤추는 꿈을 꾸었다.
에밀리슨 콜린스,False,"하늘에 둥둥 떠다니는 구름 위에서, 에밀리슨 콜린스는 신비로운 피아노를 연주하며 느리게 흘러가는 시간을 즐기고 있었다."
루카스 그린,False,"밤하늘에 뜬 별들을 헤아리던 루카스 그린은 어느 순간, 모든 별들이 은색으로 반짝이며 그의 이름을 속삭이는 듯한 환상적인 광경을 목격했다."
윤지우,False,윤지우는 끝없는 보라색 해변에서 무지개 파도를 타는 꿈을 꾸고 있다.
에이바 페레즈,False,"에이바 페레즈는 빛나는 별들로 가득한 밤하늘을 배경으로, 기적의 무지개 다리를 건너는 꿈을 꾸었다."
카메론 켈리,False,카메론 켈리가 무지갯빛 호수 위를 떠다니는 연꽃 배를 타고 가며 금빛 나비들과 대화를 나누기 시작했다.
엘라 로스,False,"엘라 로스는 드디어 숲 속 깊은 곳에 숨겨진 마법의 책을 발견했을 때, 하늘에서 빛나는 별들이 에메랄드처럼 그녀의 주변으로 떨어지기 시작했다."
코바야시 미사키,False,"코바야시 미사키는 거대한 색깔의 물방울들이 떠다니는 하늘을 나는 섬에서, 환상적인 모험을 시작했다."
노아 해리스,False,"깊고 무한한 숲 속, 노아 해리스가 반짝이는 은빛 나비를 따라 걸으며 오래된 신비의 책을 발견하게 되었습니다."
클로이 리,False,드넓은 미로 속을 걷고 있던 클로이 리는 눈앞에 환상적인 유리궁전을 발견했다.
잭슨 리,False,잭슨 리는 커다란 분홍색 구름 위에서 피아노를 연주하며 무지갯빛 불꽃들이 하늘로 날아오르는 꿈같은 장면을 만들어내고 있었다.
최수민,False,"꿈속에서 최수민은 끝없이 펼쳐진 별빛 가득한 하늘을 배경으로 날아다니며, 달빛 속에서 춤추는 요정들의 이야기를 들었다."
에블린 넬슨,False,"에블린 넬슨이 하늘을 나는 커다란 고래의 등에 올라타, 끝없는 별빛 아래에서 환상적인 여행을 떠났습니다."
윤서영,False,"어느 날 꿈속에서, 윤서영은 자그마한 마법의 성에서 달빛 아래 빛나는 유리 구슬을 발견했다."
사무엘 리,False,"사무엘 리는 거대한 초록빛의 날개를 펼치며, 엘프들이 사는 숲의 입구에서 새로운 모험을 시작하려고 하늘을 바라보았다."
엘리야 워커,False,"어느 날 밤, 엘리야 워커는 신비로운 숲속에서 마법의 문을 발견했고, 그 문을 열자 끝없이 펼쳐지는 별빛의 바다가 그를 맞이하였다."
제이든 로스,False,"푸른 나비의 나라에서, 제이든 로스는 하늘을 날아다니는 나비들과 함께 춤을 추며 별빛 가득한 초원을 거닐고 있었다."
에밀리슨 리,False,에밀리슨 리는 자전거를 타고 구름 위를 달리며 하늘의 별들을 손으로 만질 수 있는 마법의 능력을 가진 꿈속 여행자였다.
마이클 브라운,False,"마이클 브라운은 황금빛 해변을 거닐며 밤하늘을 수놓은 별들을 바라보았고, 그 순간 모든 꿈들이 현실로 이뤄질 것 같은 강한 느낌이 들었다."
그레이슨 리드,False,한밤중 달빛이 환하게 비추는 숲속을 걷던 그레이슨 리드는 갑자기 나무 사이에서 반짝이는 문을 발견했다.
에이든 카터,False,"에이든 카터는 하늘을 나는 거대한 기계 고래를 타고 구름 사이를 누비며, 시공간을 초월하는 모험을 떠나고 있었다."
마이클 존슨,False,"낮게 드리운 안개 사이로 우거진 숲을 거닐던 마이클 존슨은, 갑자기 나타난 빛나는 오로라를 따라가다 마법의 문을 발견했습니다."
세바스찬 브룩스,False,세바스찬 브룩스는 마법의 숲에서 길을 잃고 말았다. 그러다가 금빛 날개를 가진 신비로운 새를 만났다.
잭슨 베이커,False,"끝없이 펼쳐진 푸른 초원 위를 거닐다보니, 잭슨 베이커는 하늘에서 떨어지는 빛나는 바닐라색 눈송이를 손에 받으며, 왠지 모를 따스함에 미소를 지었다."
아멜리아 잭슨,False,"어느 날, 아멜리아 잭슨은 푸른 달빛이 비추는 숲 속에서 길을 잃었지만 갑자기 눈앞에 반짝이는 은빛 호수가 나타났다."
리암 마틴,False,"꿈속에서는 리암 마틴이 무지개 다리 위에서 하프를 연주하며, 까맣게 반짝이는 하늘을 반사시킨 은빛 호수가 펼쳐져 있었다."
잭슨 모건,False,"잭슨 모건은 아름다운 무지개빛 정원에서 금빛 나비들과 춤을 추며, 풀밭에 앉아 천사들과 이야기를 나누고 있었다."
김민준,False,아련한 꿈속에서 김민준은 구름 다리 위를 걸으며 은빛 달빛이 비치는 신비로운 호수를 바라보고 있었다.
제이콥 벨,False,"제이콥 벨은 은은한 안개로 가득한 숲 속의 나무 꼭대기에 앉아, 작은 요정들이 빛나는 노래를 부르는 장면을 꿈속에서 지켜보고 있었다."
오스카 리,False,오스카 리는 끝없이 펼쳐진 라벤더 밭 한가운데에서 향긋한 바람을 맞으며 부드럽게 춤추듯 걸어가고 있었다.
그레이스 모건,False,"어느 날 밤, 그레이스 모건은 달빛이 은은하게 비치는 숲 속에서 황금빛 나뭇잎이 쏟아지는 길을 따라 걷고 있다가, 갑자기 자신 앞에 나타난 천사와 마주쳤다."
강동훈,False,강동훈은 어느 날 꿈속에서 커다란 유니콘을 타고 구름 위를 날아다니다가 무지개 다리를 건너 하늘 속 마을에 도착했다.
제임스 앤더슨,False,제임스 앤더슨은 거대한 초록빛 숲 속에서 황금빛 날개를 가진 용과 우정을 쌓으며 하늘을 날아다니는 꿈을 꾸었다.
시마무라 타쿠야,False,"시마무라 타쿠야는 잠에서 깨어나보니, 그는 물속에 떠다니는 마법의 성에서 독특한 빛의 행렬을 구경하고 있었다."
레이첼 리,False,"깊은 숲속의 마법의 정원에서, 레이첼 리는 반딧불이 빛나는 호수 근처에서 신비로운 생물들과 함께 꿈처럼 평화로운 밤을 보내고 있었다."
데이비드 윌슨,False,은은한 달빛이 비치는 숲속 길을 따라 데이비드 윌슨은 아주 오랜만에 잃어버린 시간을 찾아 여행을 떠났다.
에밀리 베이커,False,"에밀리 베이커가 신비로운 호수 위를 걷고 있었는데, 갑자기 물결이 갈라지며 황금빛 물고기가 모습을 드러냈다."
